type,doc_statement,current_try,q_0_age_answer,q_0_school_answer,q_0_taxes_answer,q_0_political_views_answer,q_0_consideration_answer,q_0_southern_border_answer,q_0_environment_answer,q_1_farmers_value,q_2_marks_value,q_3_athletics_value,doc_index,doc_name,doc_date,doc_source,doc_overall-truthfulness_value,doc_confidence_value,doc_correctness_value,doc_neutrality_value,doc_comprehensibility_value,doc_precision_value,doc_completeness_value,doc_speaker's-trustworthiness_value,doc_informativeness_value,doc_accesses,url_speaksabout,fre
correct_false_all_10,Says the Wisconsin Republican Party tweeted Happy International Womens Day You ladies should get paid less and not be able to make health care decisions,1.0,36-50 (1.50),"Postgrad. or professional schooling, no degree (2.70)","50,000 to less than 75,000 (4.70)",Liberal (2.80),Democrat (1.00),No opinion either way (0.70),Agree (1.80),correct value (0.60),correct value (0.70),correct value (0.90),4.0,DEM (2.00),2012.0,politifact (1.00),-0.8,0.0,-0.8,-1.0,1.4,0.4,0.1,-0.8,-0.1,1.0,-1.0,46.1
correct_false_all_10,Virginia papers called Scott Rigells campaign Mostly False,1.0,26-35 (1.10),4 year college/bachelor degree (1.80),"40,000 to less than 50,000 (4.30)",Moderate (2.40),Democrat (1.10),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.10),wrong value (0.30),5.4,DEM (2.00),2012.0,politifact (1.00),-0.4,0.1,0.0,0.0,0.1,0.3,-0.1,0.3,0.3,1.0,-0.5,71.82
correct_false_all_10,Were very prepared to put out a statement before the election updating on the budget process Joshs party hasnt even submitted one policy for costing yet to the Parliamentary Budget Office,1.0,26-35 (0.90),"Postgrad. or professional schooling, no degree (2.70)","50,000 to less than 75,000 (5.20)",Moderate (1.80),Democrat (0.80),No opinion either way (0.70),Agree (1.50),correct value (0.60),wrong value (0.30),correct value (0.60),7.6,Labor (3.00),2013.0,abc (0.00),-0.7,-1.0,-0.4,-0.7,0.3,-0.1,-0.3,-0.5,-0.4,1.0,-0.5,40.01
correct_false_all_10,Anthony Albanese says eight out of the worlds top 10 airlines are majority governmentowned,1.0,26-35 (0.90),4 year college/bachelor degree (2.00),"50,000 to less than 75,000 (4.90)",Moderate (2.10),Democrat (1.00),No opinion either way (1.20),Agree (1.70),wrong value (0.50),wrong value (0.30),wrong value (0.30),5.9,Labor (3.00),2014.0,abc (0.00),-0.2,-0.3,-0.7,0.3,0.8,0.4,0.3,-0.5,0.2,1.0,0.2,48.81
correct_false_all_10,Scott Walkers income tax plan is a tax hike It increases taxes for nearly 80 of the people in the state,1.0,26-35 (1.30),4 year college/bachelor degree (2.30),"40,000 to less than 50,000 (3.90)",Moderate (2.00),Democrat (0.90),No opinion either way (0.80),Agree (1.60),wrong value (0.50),wrong value (0.40),wrong value (0.30),4.3,DEM (2.00),2014.0,politifact (1.00),-0.1,0.4,-0.1,-0.6,1.0,1.0,0.3,-0.3,0.5,1.0,0.4,75.54
correct_false_all_10,We left the country with net assets of 70 billion where if we are elected on the 7th of September we inherit debt going to 400 billion,1.0,26-35 (1.00),4 year college/bachelor degree (2.27),"40,000 to less than 50,000 (4.45)",Moderate (2.18),Democrat (1.00),No opinion either way (0.64),Agree (2.00),wrong value (0.45),wrong value (0.27),wrong value (0.45),7.818181818181818,Liberal (1.00),2013.0,abc (0.00),-0.18181818181818182,-0.36363636363636365,-0.09090909090909091,-0.09090909090909091,0.36363636363636365,0.5454545454545454,0.18181818181818182,-0.36363636363636365,-0.18181818181818182,1.0,0.45454545454545453,60.99
correct_false_all_10,The Labor Party has repeatedly claimed the Coalition needs to make cuts of 70 billion to vital services to balance the budget,1.0,36-50 (1.60),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),No opinion either way (0.70),No opinion either way (1.20),wrong value (0.50),correct value (0.60),correct value (0.60),7.6,Labor (3.00),2013.0,abc (0.00),-0.5,-1.2,-0.3,-0.8,0.9,0.6,0.1,-0.3,0.1,1.1,0.6,57.61
correct_false_all_10,The National Science Foundation spent 12 million paying seniors to play World of Warcraft to study the impact it had on their brain,1.0,26-35 (0.90),4 year college/bachelor degree (1.60),"30,000 to less than 40,000 (3.40)",Moderate (2.50),Democrat (1.40),No opinion either way (0.60),Agree (1.90),wrong value (0.50),wrong value (0.10),wrong value (0.40),4.5,REP (0.00),2013.0,politifact (1.00),-0.1,0.3,-0.2,0.5,1.1,0.7,0.6,-0.4,0.6,1.2,0.6,65.05
correct_false_all_10,Tony Abbott says asylum seekers who come to Australia are attempting to break Australian law,1.0,26-35 (0.90),4 year college/bachelor degree (1.60),"30,000 to less than 40,000 (3.40)",Moderate (2.50),Democrat (1.40),No opinion either way (0.60),Agree (1.90),wrong value (0.50),wrong value (0.10),wrong value (0.40),5.7,Liberal (1.00),2014.0,abc (0.00),-0.5,-0.4,-0.6,-0.8,1.3,0.8,-0.4,-0.4,-0.6,1.0,0.6,64.71
correct_false_all_10,Says Barack Obama sold Chrysler to Italians who are going to build Jeeps in China at the cost of American jobs,1.0,36-50 (1.60),4 year college/bachelor degree (1.70),"40,000 to less than 50,000 (4.00)",Liberal (2.80),Democrat (1.20),No opinion either way (0.70),No opinion either way (1.20),wrong value (0.50),correct value (0.60),correct value (0.60),4.0,REP (0.00),2012.0,politifact (1.00),-0.8,-0.7,-0.8,-1.1,1.1,1.3,-0.6,-0.2,0.4,1.0,1.0,75.54
